class,bruises,odor,spore-print-color,population,habitat,mushroomID,capID,gillID,stalkID,veilID
e,t,l,n,v,d,exfytlfwnwtbsswwpwopnvd,xfy,fwnw,tbssww,pwop
e,f,n,k,v,u,esfgfnfcnkeesswwpwopkvu,sfg,fcnk,eessww,pwop
p,t,p,n,s,u,pxyntpfcnweesswwpwopnsu,xyn,fcnw,eessww,pwop
e,t,a,n,v,d,exfytafwnptbsswwpwopnvd,xfy,fwnp,tbssww,pwop
e,t,l,k,s,m,ebsytlfcbkecsswwpwopksm,bsy,fcbk,ecssww,pwop
e,t,a,n,s,g,ebyytafcbnecsswwpwopnsg,byy,fcbn,ecssww,pwop
e,t,l,k,y,p,exyytlfcbnersywwpwopkyp,xyy,fcbn,ersyww,pwop
e,f,n,k,y,u,exfnfnfcngeesswwpwopkyu,xfn,fcng,eessww,pwop
p,t,p,n,v,g,pxywtpfcnpeesswwpwopnvg,xyw,fcnp,eessww,pwop
e,t,a,k,n,m,exsytafcbwecsswwpwopknm,xsy,fcbw,ecssww,pwop
e,t,a,n,n,g,exywtafcbnecsswwpwopnng,xyw,fcbn,ecssww,pwop
e,t,l,k,s,m,exyytlfcbkecsswwpwopksm,xyy,fcbk,ecssww,pwop
e,t,l,n,n,m,exswtlfcbwecsswwpwopnnm,xsw,fcbw,ecssww,pwop
e,t,l,n,s,p,exyytlfcbnersywwpwopnsp,xyy,fcbn,ersyww,pwop
e,t,l,k,s,p,efyytlfcbwersywwpwopksp,fyy,fcbw,ersyww,pwop
e,t,a,k,s,g,exyntafcbwersywwpwopksg,xyn,fcbw,ersyww,pwop
e,t,l,k,s,g,exswtlfcbkecsswwpwopksg,xsw,fcbk,ecssww,pwop
e,t,l,n,n,m,ebswtlfcbkecsswwpwopnnm,bsw,fcbk,ecssww,pwop
p,t,p,n,v,u,pxyntpfcnkeesswwpwopnvu,xyn,fcnk,eessww,pwop
p,t,p,k,v,u,pxswtpfcnkeesswwpwopkvu,xsw,fcnk,eessww,pwop
e,t,a,k,s,m,ebyytafcbwecsswwpwopksm,byy,fcbw,ecssww,pwop
e,f,n,n,a,g,effgfnfwbntesswwpwoenag,ffg,fwbn,tessww,pwoe
e,t,a,n,n,g,ebswtafcbwecsswwpwopnng,bsw,fcbw,ecssww,pwop
e,t,l,k,n,g,exsytlfcbkecsswwpwopkng,xsy,fcbk,ecssww,pwop
e,t,a,k,y,p,exyntafcbpersywwpwopkyp,xyn,fcbp,ersyww,pwop
e,f,n,n,v,u,esfgfnfcnkeesswwpwopnvu,sfg,fcnk,eessww,pwop
e,t,a,n,s,m,ebyytafcbkecsswwpwopnsm,byy,fcbk,ecssww,pwop
e,t,l,n,s,m,ebsytlfcbgecsswwpwopnsm,bsy,fcbg,ecssww,pwop
e,t,l,n,n,m,ebyytlfcbgecsswwpwopnnm,byy,fcbg,ecssww,pwop
e,t,l,n,s,g,ebywtlfcbnecsswwpwopnsg,byw,fcbn,ecssww,pwop
e,f,n,k,a,g,efsnfnfwbktesswwpwoekag,fsn,fwbk,tessww,pwoe
e,t,l,k,s,g,exswtlfcbnecsswwpwopksg,xsw,fcbn,ecssww,pwop
e,t,a,n,s,g,efyytafcbwersywwpwopnsg,fyy,fcbw,ersyww,pwop
e,t,a,k,n,g,exyytafcbwecsswwpwopkng,xyy,fcbw,ecssww,pwop
e,f,n,n,v,u,exfgfnfcnpeesswwpwopnvu,xfg,fcnp,eessww,pwop
e,t,l,n,v,d,effytlfwnptbsswwpwopnvd,ffy,fwnp,tbssww,pwop
e,t,l,n,s,m,ebywtlfcbgecsswwpwopnsm,byw,fcbg,ecssww,pwop
e,t,l,n,v,d,effytlfwnwtbsswwpwopnvd,ffy,fwnw,tbssww,pwop
e,t,a,k,s,p,exyntafcbpersywwpwopksp,xyn,fcbp,ersyww,pwop
e,t,a,k,s,g,ebsytafcbkecsswwpwopksg,bsy,fcbk,ecssww,pwop
e,t,l,n,v,d,efsytlfwnptbsswwpwopnvd,fsy,fwnp,tbssww,pwop
e,t,l,u,v,d,exswtlfwnntbsswwpwopuvd,xsw,fwnn,tbssww,pwop
e,t,l,n,y,p,efyntlfcbpersywwpwopnyp,fyn,fcbp,ersyww,pwop
p,t,p,n,v,u,pxyntpfcnweesswwpwopnvu,xyn,fcnw,eessww,pwop
e,t,a,n,y,g,efyntafcbnersywwpwopnyg,fyn,fcbn,ersyww,pwop
e,f,n,n,s,g,exsnfnfwbktefswwpwoensg,xsn,fwbk,tefsww,pwoe
p,t,p,k,s,g,pxywtpfcnweesswwpwopksg,xyw,fcnw,eessww,pwop
e,f,n,n,y,u,effgfnfcnneesswwpwopnyu,ffg,fcnn,eessww,pwop
e,f,n,n,s,g,exfgfnfwbntesswwpwoensg,xfg,fwbn,tessww,pwoe
e,t,l,k,s,g,exyytlfcbwersywwpwopksg,xyy,fcbw,ersyww,pwop
e,f,n,k,s,g,exsnfnfwbktesswwpwoeksg,xsn,fwbk,tessww,pwoe
e,t,a,k,s,g,ebswtafcbwecsswwpwopksg,bsw,fcbw,ecssww,pwop
e,t,l,n,s,g,exswtlfcbnecsswwpwopnsg,xsw,fcbn,ecssww,pwop
e,t,l,k,y,g,efyntlfcbwersywwpwopkyg,fyn,fcbw,ersyww,pwop
e,f,n,n,v,u,esfnfnfcnneesswwpwopnvu,sfn,fcnn,eessww,pwop
e,f,n,n,y,u,exfnfnfcnneesswwpwopnyu,xfn,fcnn,eessww,pwop
e,t,l,k,s,g,ebswtlfcbkecsswwpwopksg,bsw,fcbk,ecssww,pwop
e,t,a,k,s,g,exyytafcbgecsswwpwopksg,xyy,fcbg,ecssww,pwop
e,t,l,k,n,m,exyytlfcbgecsswwpwopknm,xyy,fcbg,ecssww,pwop
e,f,n,n,a,g,exsnfnfwbntesswwpwoenag,xsn,fwbn,tessww,pwoe
e,t,a,n,s,g,exswtafcbgecsswwpwopnsg,xsw,fcbg,ecssww,pwop
e,t,l,n,s,g,efyntlfcbpersywwpwopnsg,fyn,fcbp,ersyww,pwop
e,t,a,k,n,g,exsytafcbnecsswwpwopkng,xsy,fcbn,ecssww,pwop
e,t,a,n,s,g,ebswtafcbgecsswwpwopnsg,bsw,fcbg,ecssww,pwop
e,t,a,k,s,g,exywtafcbgecsswwpwopksg,xyw,fcbg,ecssww,pwop
e,f,n,k,s,g,exfnfnfwbptefswwpwoeksg,xfn,fwbp,tefsww,pwoe
e,t,l,k,n,g,ebsytlfcbnecsswwpwopkng,bsy,fcbn,ecssww,pwop
e,t,l,n,s,g,efyytlfcbwersywwpwopnsg,fyy,fcbw,ersyww,pwop
e,t,a,k,y,p,exyytafcbnersywwpwopkyp,xyy,fcbn,ersyww,pwop
e,t,l,n,n,g,ebywtlfcbgecsswwpwopnng,byw,fcbg,ecssww,pwop
e,t,a,k,n,m,exyytafcbnecsswwpwopknm,xyy,fcbn,ecssww,pwop
e,t,a,n,y,g,exyytafcbwersywwpwopnyg,xyy,fcbw,ersyww,pwop
e,t,l,k,s,m,ebywtlfcbnecsswwpwopksm,byw,fcbn,ecssww,pwop
e,t,a,n,s,m,ebywtafcbgecsswwpwopnsm,byw,fcbg,ecssww,pwop
e,t,a,k,n,m,exsytafcbkecsswwpwopknm,xsy,fcbk,ecssww,pwop
e,t,l,k,n,g,exsytlfcbwecsswwpwopkng,xsy,fcbw,ecssww,pwop
e,f,n,k,y,u,esfgfnfcngeesswwpwopkyu,sfg,fcng,eessww,pwop
e,t,a,u,v,d,exfwtafwnwtbsswwpwopuvd,xfw,fwnw,tbssww,pwop
e,t,a,k,n,m,exsytafcbnecsswwpwopknm,xsy,fcbn,ecssww,pwop
p,t,p,n,v,u,pxywtpfcnneesswwpwopnvu,xyw,fcnn,eessww,pwop
e,t,l,n,s,g,exyytlfcbpersywwpwopnsg,xyy,fcbp,ersyww,pwop
e,f,n,n,y,u,esfgfnfcnpeesswwpwopnyu,sfg,fcnp,eessww,pwop
e,t,l,k,y,g,exyytlfcbwersywwpwopkyg,xyy,fcbw,ersyww,pwop
e,t,l,u,v,d,exsytlfwnptbsswwpwopuvd,xsy,fwnp,tbssww,pwop
e,f,n,n,y,u,esfnfnfcnkeesswwpwopnyu,sfn,fcnk,eessww,pwop
p,t,p,k,v,g,pxswtpfcnkeesswwpwopkvg,xsw,fcnk,eessww,pwop
e,t,a,n,n,m,exywtafcbgecsswwpwopnnm,xyw,fcbg,ecssww,pwop
p,t,p,k,v,g,pfyntpfcnpeesswwpwopkvg,fyn,fcnp,eessww,pwop
e,f,n,n,a,g,efsgfnfwbktesswwpwoenag,fsg,fwbk,tessww,pwoe
e,t,l,n,s,m,exsytlfcbgecsswwpwopnsm,xsy,fcbg,ecssww,pwop
e,f,n,k,s,g,exswfnfwbntesfwwpwoeksg,xsw,fwbn,tesfww,pwoe
e,t,a,n,n,g,ebsytafcbwecsswwpwopnng,bsy,fcbw,ecssww,pwop
e,f,n,n,a,g,effgfnfwbhtesswwpwoenag,ffg,fwbh,tessww,pwoe
e,t,l,k,n,g,exswtlfcbnecsswwpwopkng,xsw,fcbn,ecssww,pwop
e,t,l,n,s,m,ebswtlfcbnecsswwpwopnsm,bsw,fcbn,ecssww,pwop
e,t,l,n,s,g,ebswtlfcbwecsswwpwopnsg,bsw,fcbw,ecssww,pwop
e,t,l,n,s,m,ebywtlfcbwecsswwpwopnsm,byw,fcbw,ecssww,pwop
e,t,l,u,v,d,efswtlfwnwtbsswwpwopuvd,fsw,fwnw,tbssww,pwop
e,t,l,k,s,m,exyytlfcbgecsswwpwopksm,xyy,fcbg,ecssww,pwop
e,t,a,n,v,d,efswtafwnptbsswwpwopnvd,fsw,fwnp,tbssww,pwop
p,t,p,n,v,u,pxywtpfcnweesswwpwopnvu,xyw,fcnw,eessww,pwop
e,t,l,n,v,d,effwtlfwnwtbsswwpwopnvd,ffw,fwnw,tbssww,pwop
e,t,a,n,s,g,exyytafcbnecsswwpwopnsg,xyy,fcbn,ecssww,pwop
p,t,p,n,v,g,pxsntpfcnpeesswwpwopnvg,xsn,fcnp,eessww,pwop
e,t,l,n,n,g,ebsytlfcbwecsswwpwopnng,bsy,fcbw,ecssww,pwop
e,t,a,k,y,p,exyntafcbwersywwpwopkyp,xyn,fcbw,ersyww,pwop
e,t,l,k,n,m,ebyytlfcbgecsswwpwopknm,byy,fcbg,ecssww,pwop
e,f,n,n,v,u,esfnfnfcnkeesswwpwopnvu,sfn,fcnk,eessww,pwop
e,t,a,k,y,p,efyntafcbwersywwpwopkyp,fyn,fcbw,ersyww,pwop
e,t,a,k,n,g,exyytafcbkecsswwpwopkng,xyy,fcbk,ecssww,pwop
e,f,n,k,s,g,exfgfnfwbkteffwwpwoeksg,xfg,fwbk,teffww,pwoe
e,f,n,n,a,g,effwfnfwbktesfwwpwoenag,ffw,fwbk,tesfww,pwoe
e,t,l,n,n,m,exyytlfcbwecsswwpwopnnm,xyy,fcbw,ecssww,pwop
e,t,l,k,n,g,ebsytlfcbkecsswwpwopkng,bsy,fcbk,ecssww,pwop
e,t,a,k,n,m,ebywtafcbgecsswwpwopknm,byw,fcbg,ecssww,pwop
e,t,a,n,s,g,exywtafcbwecsswwpwopnsg,xyw,fcbw,ecssww,pwop
e,f,n,n,a,g,exsnfnfwbptefswwpwoenag,xsn,fwbp,tefsww,pwoe
e,t,l,n,s,g,exywtlfcbgecsswwpwopnsg,xyw,fcbg,ecssww,pwop
e,f,n,k,v,u,esfnfnfcnkeesswwpwopkvu,sfn,fcnk,eessww,pwop
e,t,a,u,v,d,exswtafwnwtbsswwpwopuvd,xsw,fwnw,tbssww,pwop
e,t,l,k,s,g,exyntlfcbwersywwpwopksg,xyn,fcbw,ersyww,pwop
e,t,a,n,n,g,ebyytafcbkecsswwpwopnng,byy,fcbk,ecssww,pwop
e,t,a,n,n,g,exywtafcbkecsswwpwopnng,xyw,fcbk,ecssww,pwop
e,t,a,k,s,m,ebywtafcbnecsswwpwopksm,byw,fcbn,ecssww,pwop
e,t,a,k,s,g,ebsytafcbgecsswwpwopksg,bsy,fcbg,ecssww,pwop
e,t,l,k,s,m,ebsytlfcbgecsswwpwopksm,bsy,fcbg,ecssww,pwop
e,t,a,k,n,g,ebyytafcbnecsswwpwopkng,byy,fcbn,ecssww,pwop
e,f,n,n,y,u,exfnfnfcnkeesswwpwopnyu,xfn,fcnk,eessww,pwop
e,t,l,n,y,g,efyntlfcbnersywwpwopnyg,fyn,fcbn,ersyww,pwop
e,t,a,n,s,g,exywtafcbkecsswwpwopnsg,xyw,fcbk,ecssww,pwop
e,t,l,n,y,p,efyytlfcbwersywwpwopnyp,fyy,fcbw,ersyww,pwop
e,t,a,n,s,g,ebswtafcbwecsswwpwopnsg,bsw,fcbw,ecssww,pwop
e,t,a,k,s,m,ebswtafcbwecsswwpwopksm,bsw,fcbw,ecssww,pwop
e,t,l,k,y,g,exyntlfcbwersywwpwopkyg,xyn,fcbw,ersyww,pwop
e,t,a,k,s,g,ebswtafcbkecsswwpwopksg,bsw,fcbk,ecssww,pwop
e,f,n,n,y,u,exfgfnfcngeesswwpwopnyu,xfg,fcng,eessww,pwop
e,t,l,n,s,g,ebsytlfcbkecsswwpwopnsg,bsy,fcbk,ecssww,pwop
e,t,l,u,v,d,exfytlfwnntbsswwpwopuvd,xfy,fwnn,tbssww,pwop
e,t,a,k,s,g,ebyytafcbwecsswwpwopksg,byy,fcbw,ecssww,pwop
e,t,l,n,s,g,efyytlfcbpersywwpwopnsg,fyy,fcbp,ersyww,pwop
e,t,l,k,n,m,ebywtlfcbwecsswwpwopknm,byw,fcbw,ecssww,pwop
e,t,a,k,n,m,ebywtafcbkecsswwpwopknm,byw,fcbk,ecssww,pwop
e,t,a,n,s,g,ebyytafcbgecsswwpwopnsg,byy,fcbg,ecssww,pwop
e,t,l,n,n,m,exyytlfcbgecsswwpwopnnm,xyy,fcbg,ecssww,pwop
e,t,l,n,n,g,ebsytlfcbgecsswwpwopnng,bsy,fcbg,ecssww,pwop
p,t,p,n,v,u,pxywtpfcnpeesswwpwopnvu,xyw,fcnp,eessww,pwop
e,f,n,n,y,u,esfnfnfcngeesswwpwopnyu,sfn,fcng,eessww,pwop
e,f,n,k,v,u,effnfnfcngeesswwpwopkvu,ffn,fcng,eessww,pwop
e,t,a,n,s,m,exsytafcbgecsswwpwopnsm,xsy,fcbg,ecssww,pwop
e,t,a,k,s,p,efyntafcbpersywwpwopksp,fyn,fcbp,ersyww,pwop
p,t,p,k,s,g,pxywtpfcnkeesswwpwopksg,xyw,fcnk,eessww,pwop
e,t,l,n,s,m,ebswtlfcbgecsswwpwopnsm,bsw,fcbg,ecssww,pwop
e,f,n,k,v,u,effgfnfcnpeesswwpwopkvu,ffg,fcnp,eessww,pwop
e,t,l,n,n,g,ebyytlfcbgecsswwpwopnng,byy,fcbg,ecssww,pwop
e,t,a,n,y,p,exyntafcbwersywwpwopnyp,xyn,fcbw,ersyww,pwop
e,f,n,k,s,g,exfwfnfwbptesfwwpwoeksg,xfw,fwbp,tesfww,pwoe
e,t,l,n,v,d,exswtlfwnwtbsswwpwopnvd,xsw,fwnw,tbssww,pwop
e,t,l,n,s,m,ebswtlfcbwecsswwpwopnsm,bsw,fcbw,ecssww,pwop
e,t,a,n,v,d,efsytafwnwtbsswwpwopnvd,fsy,fwnw,tbssww,pwop
e,t,a,n,n,m,exsytafcbkecsswwpwopnnm,xsy,fcbk,ecssww,pwop
e,f,n,n,y,u,effgfnfcngeesswwpwopnyu,ffg,fcng,eessww,pwop
e,t,a,k,s,g,ebsytafcbnecsswwpwopksg,bsy,fcbn,ecssww,pwop
e,t,l,n,n,m,exswtlfcbgecsswwpwopnnm,xsw,fcbg,ecssww,pwop
e,t,l,n,s,m,exywtlfcbnecsswwpwopnsm,xyw,fcbn,ecssww,pwop
e,t,a,n,v,d,efswtafwnntbsswwpwopnvd,fsw,fwnn,tbssww,pwop
e,t,l,n,s,g,exyytlfcbwecsswwpwopnsg,xyy,fcbw,ecssww,pwop
e,t,l,k,s,g,ebswtlfcbwecsswwpwopksg,bsw,fcbw,ecssww,pwop
e,t,a,k,n,g,exswtafcbgecsswwpwopkng,xsw,fcbg,ecssww,pwop
e,f,n,k,s,g,exfwfnfwbhtefswwpwoeksg,xfw,fwbh,tefsww,pwoe
e,t,l,k,y,p,efyntlfcbnersywwpwopkyp,fyn,fcbn,ersyww,pwop
p,t,p,n,v,u,pxswtpfcnkeesswwpwopnvu,xsw,fcnk,eessww,pwop
e,t,a,n,n,g,ebswtafcbnecsswwpwopnng,bsw,fcbn,ecssww,pwop
e,t,a,k,s,m,ebswtafcbkecsswwpwopksm,bsw,fcbk,ecssww,pwop
e,t,l,n,n,g,ebywtlfcbnecsswwpwopnng,byw,fcbn,ecssww,pwop
e,t,a,k,n,g,ebywtafcbwecsswwpwopkng,byw,fcbw,ecssww,pwop
e,t,a,k,s,g,exsytafcbwecsswwpwopksg,xsy,fcbw,ecssww,pwop
e,t,l,k,n,m,ebswtlfcbwecsswwpwopknm,bsw,fcbw,ecssww,pwop
e,t,a,n,v,d,exfytafwnntbsswwpwopnvd,xfy,fwnn,tbssww,pwop
e,f,n,n,y,u,exfgfnfcnneesswwpwopnyu,xfg,fcnn,eessww,pwop
e,t,a,n,s,g,efyytafcbnersywwpwopnsg,fyy,fcbn,ersyww,pwop
e,t,l,k,n,m,ebswtlfcbnecsswwpwopknm,bsw,fcbn,ecssww,pwop
e,t,a,k,s,g,exsytafcbgecsswwpwopksg,xsy,fcbg,ecssww,pwop
e,t,a,k,s,g,exyytafcbkecsswwpwopksg,xyy,fcbk,ecssww,pwop
e,t,l,n,s,g,exywtlfcbwecsswwpwopnsg,xyw,fcbw,ecssww,pwop
e,f,n,n,v,u,esfgfnfcnpeesswwpwopnvu,sfg,fcnp,eessww,pwop
e,t,a,n,n,m,exswtafcbnecsswwpwopnnm,xsw,fcbn,ecssww,pwop
p,t,p,k,s,g,pxswtpfcnkeesswwpwopksg,xsw,fcnk,eessww,pwop
e,t,a,n,s,g,exyytafcbnersywwpwopnsg,xyy,fcbn,ersyww,pwop
e,t,a,n,v,d,effwtafwnptbsswwpwopnvd,ffw,fwnp,tbssww,pwop
e,t,l,k,n,m,exywtlfcbgecsswwpwopknm,xyw,fcbg,ecssww,pwop
e,t,l,k,s,g,ebywtlfcbnecsswwpwopksg,byw,fcbn,ecssww,pwop
e,t,a,n,n,g,exswtafcbgecsswwpwopnng,xsw,fcbg,ecssww,pwop
e,t,a,n,s,g,exsytafcbgecsswwpwopnsg,xsy,fcbg,ecssww,pwop
p,t,p,k,v,u,pxyntpfcnpeesswwpwopkvu,xyn,fcnp,eessww,pwop
e,t,a,n,n,g,ebsytafcbnecsswwpwopnng,bsy,fcbn,ecssww,pwop
e,f,n,k,y,u,exfgfnfcnneesswwpwopkyu,xfg,fcnn,eessww,pwop
p,t,p,k,s,u,pxywtpfcnkeesswwpwopksu,xyw,fcnk,eessww,pwop
e,t,l,n,y,p,exyytlfcbnersywwpwopnyp,xyy,fcbn,ersyww,pwop
e,f,n,k,v,u,effnfnfcnkeesswwpwopkvu,ffn,fcnk,eessww,pwop
e,t,l,n,n,g,ebswtlfcbkecsswwpwopnng,bsw,fcbk,ecssww,pwop
e,t,l,n,v,d,exfwtlfwnwtbsswwpwopnvd,xfw,fwnw,tbssww,pwop
e,t,l,k,s,g,exywtlfcbwecsswwpwopksg,xyw,fcbw,ecssww,pwop
e,t,l,n,s,g,ebyytlfcbnecsswwpwopnsg,byy,fcbn,ecssww,pwop
e,t,l,k,s,g,exyytlfcbnersywwpwopksg,xyy,fcbn,ersyww,pwop
e,t,a,k,s,p,efyytafcbpersywwpwopksp,fyy,fcbp,ersyww,pwop
e,t,a,k,y,p,efyytafcbwersywwpwopkyp,fyy,fcbw,ersyww,pwop
e,t,l,k,s,g,exswtlfcbwecsswwpwopksg,xsw,fcbw,ecssww,pwop
e,t,a,n,n,m,exswtafcbwecsswwpwopnnm,xsw,fcbw,ecssww,pwop
p,t,p,k,v,u,pxswtpfcnneesswwpwopkvu,xsw,fcnn,eessww,pwop
e,t,a,u,v,d,effwtafwnptbsswwpwopuvd,ffw,fwnp,tbssww,pwop
e,t,l,n,s,g,exswtlfcbwecsswwpwopnsg,xsw,fcbw,ecssww,pwop
e,t,l,u,v,d,exswtlfwnptbsswwpwopuvd,xsw,fwnp,tbssww,pwop
e,t,a,k,s,m,exywtafcbnecsswwpwopksm,xyw,fcbn,ecssww,pwop
e,t,l,k,y,p,efyytlfcbwersywwpwopkyp,fyy,fcbw,ersyww,pwop
e,f,n,k,s,g,exsnfnfwbptefswwpwoeksg,xsn,fwbp,tefsww,pwoe
e,t,a,n,y,g,efyytafcbwersywwpwopnyg,fyy,fcbw,ersyww,pwop
p,t,p,n,s,g,pxsntpfcnpeesswwpwopnsg,xsn,fcnp,eessww,pwop
e,f,n,n,v,u,esfnfnfcngeesswwpwopnvu,sfn,fcng,eessww,pwop
e,t,l,n,s,m,ebyytlfcbwecsswwpwopnsm,byy,fcbw,ecssww,pwop
e,t,l,n,s,g,ebswtlfcbnecsswwpwopnsg,bsw,fcbn,ecssww,pwop
e,t,l,n,n,m,ebywtlfcbkecsswwpwopnnm,byw,fcbk,ecssww,pwop
e,f,n,n,v,u,effnfnfcnkeesswwpwopnvu,ffn,fcnk,eessww,pwop
e,t,a,k,n,m,exswtafcbwecsswwpwopknm,xsw,fcbw,ecssww,pwop
e,t,l,k,n,g,ebywtlfcbgecsswwpwopkng,byw,fcbg,ecssww,pwop
e,t,a,n,n,m,ebywtafcbgecsswwpwopnnm,byw,fcbg,ecssww,pwop
e,t,l,n,s,g,efyntlfcbwersywwpwopnsg,fyn,fcbw,ersyww,pwop
p,t,p,k,v,g,pxywtpfcnkeesswwpwopkvg,xyw,fcnk,eessww,pwop
e,t,a,n,n,g,exswtafcbnecsswwpwopnng,xsw,fcbn,ecssww,pwop
e,t,a,n,s,m,exywtafcbnecsswwpwopnsm,xyw,fcbn,ecssww,pwop
e,t,l,u,v,d,effwtlfwnwtbsswwpwopuvd,ffw,fwnw,tbssww,pwop
e,f,n,k,v,u,effgfnfcngeesswwpwopkvu,ffg,fcng,eessww,pwop
e,f,n,k,a,g,efsgfnfwbptesswwpwoekag,fsg,fwbp,tessww,pwoe
e,t,a,n,s,m,exyytafcbgecsswwpwopnsm,xyy,fcbg,ecssww,pwop
e,t,a,n,s,m,ebswtafcbkecsswwpwopnsm,bsw,fcbk,ecssww,pwop
p,t,p,k,s,u,pfyntpfcnweesswwpwopksu,fyn,fcnw,eessww,pwop
e,t,l,k,n,m,exswtlfcbnecsswwpwopknm,xsw,fcbn,ecssww,pwop
p,t,p,k,v,u,pfsntpfcnweesswwpwopkvu,fsn,fcnw,eessww,pwop
e,t,l,n,s,g,exywtlfcbkecsswwpwopnsg,xyw,fcbk,ecssww,pwop
e,t,a,n,n,m,exyytafcbkecsswwpwopnnm,xyy,fcbk,ecssww,pwop
e,t,a,n,s,p,efyytafcbnersywwpwopnsp,fyy,fcbn,ersyww,pwop
e,t,a,n,s,p,exyntafcbwersywwpwopnsp,xyn,fcbw,ersyww,pwop
e,t,a,n,y,g,efyntafcbwersywwpwopnyg,fyn,fcbw,ersyww,pwop
e,t,a,n,n,m,exywtafcbwecsswwpwopnnm,xyw,fcbw,ecssww,pwop
e,f,n,k,s,g,effnfnfwbhtesswwpwoeksg,ffn,fwbh,tessww,pwoe
e,t,l,n,n,m,exsytlfcbkecsswwpwopnnm,xsy,fcbk,ecssww,pwop
p,t,p,n,s,g,pxywtpfcnweesswwpwopnsg,xyw,fcnw,eessww,pwop
e,t,a,n,n,m,ebyytafcbnecsswwpwopnnm,byy,fcbn,ecssww,pwop
e,f,n,n,v,u,esfnfnfcnpeesswwpwopnvu,sfn,fcnp,eessww,pwop
e,t,l,k,s,m,exsytlfcbkecsswwpwopksm,xsy,fcbk,ecssww,pwop
e,t,l,k,n,m,ebywtlfcbnecsswwpwopknm,byw,fcbn,ecssww,pwop
e,t,a,k,s,g,efyntafcbnersywwpwopksg,fyn,fcbn,ersyww,pwop
e,t,a,k,s,m,ebyytafcbgecsswwpwopksm,byy,fcbg,ecssww,pwop
e,t,a,k,s,g,ebywtafcbgecsswwpwopksg,byw,fcbg,ecssww,pwop
